symbol,fundingTime,fundingRate,markPrice
BTCUSDT,2023-12-31 16:00:00.000,0.00033597,42489.70000000
BTCUSDT,2024-01-01 00:00:00.000,0.00037409,42313.90000000
BTCUSDT,2024-01-01 08:00:00.000,0.00027213,42525.11019858
BTCUSDT,2024-01-01 16:00:00.000,0.00033601,42811.29637234
BTCUSDT,2024-01-02 00:00:00.000,0.00065846,44230.20000000
BTCUSDT,2024-01-02 08:00:00.000,0.00035179,45494.65069858
BTCUSDT,2024-01-02 16:00:00.000,0.0005373,45212.27632624
BTCUSDT,2024-01-03 00:00:00.000,0.00021159,44975.18398936
BTCUSDT,2024-01-03 08:00:00.000,0.00017123,45030.40000000
BTCUSDT,2024-01-03 16:00:00.000,0.0001,42995.80000000
BTCUSDT,2024-01-04 00:00:00.000,0.0001,42849.50000000
BTCUSDT,2024-01-04 08:00:00.000,0.0001,42774.30000000
BTCUSDT,2024-01-04 16:00:00.000,0.0001,44048.47574468
BTCUSDT,2024-01-05 00:00:00.001,0.0001,44147.00000000
BTCUSDT,2024-01-05 08:00:00.000,0.0001,43772.86349645
BTCUSDT,2024-01-05 16:00:00.000,0.0001,43495.10000000
BTCUSDT,2024-01-06 00:00:00.000,0.0001,44143.29000000
BTCUSDT,2024-01-06 08:00:00.000,0.0001,43651.65376950
BTCUSDT,2024-01-06 16:00:00.000,0.0001,43863.60000000
BTCUSDT,2024-01-07 00:00:00.000,0.0001,43968.00030496
BTCUSDT,2024-01-07 08:00:00.001,0.0001,44071.99074823
BTCUSDT,2024-01-07 16:00:00.001,0.0001,44037.12014539
BTCUSDT,2024-01-08 00:00:00.000,0.0001,43909.50000000
BTCUSDT,2024-01-08 08:00:00.000,0.0001,43970.00000000
BTCUSDT,2024-01-08 16:00:00.000,0.0001,44964.26529433
BTCUSDT,2024-01-09 00:00:00.001,0.0001,46972.60000000
BTCUSDT,2024-01-09 08:00:00.000,0.0001,46838.74650709
BTCUSDT,2024-01-09 16:00:00.000,0.0001,46872.40000000
BTCUSDT,2024-01-10 00:00:00.000,0.0001,46114.00000000
BTCUSDT,2024-01-10 08:00:00.000,0.0001,45766.40000000
BTCUSDT,2024-01-10 16:00:00.000,0.0001,45570.58561702
BTCUSDT,2024-01-11 00:00:00.000,0.0001,46657.58933688
BTCUSDT,2024-01-11 08:00:00.000,0.0001,46096.00527305
BTCUSDT,2024-01-11 16:00:00.000,0.0001,46789.70540426
BTCUSDT,2024-01-12 00:00:00.001,0.0001,46341.69723404
BTCUSDT,2024-01-12 08:00:00.000,0.0001,46008.31871986
BTCUSDT,2024-01-12 16:00:00.000,0.0001,44492.64061702
BTCUSDT,2024-01-13 00:00:00.000,0.0001,42789.00000000
BTCUSDT,2024-01-13 08:00:00.000,0.0001,43102.10000000
BTCUSDT,2024-01-13 16:00:00.001,0.0001,43159.76276596
BTCUSDT,2024-01-14 00:00:00.000,0.0001,42847.30638298
BTCUSDT,2024-01-14 08:00:00.000,0.0001,43011.58925532
BTCUSDT,2024-01-14 16:00:00.001,0.0001,42908.40000000
BTCUSDT,2024-01-15 00:00:00.000,0.0001,41739.60000000
BTCUSDT,2024-01-15 08:00:00.000,0.0001,42716.86510638
BTCUSDT,2024-01-15 16:00:00.000,0.0001,42278.82404255
BTCUSDT,2024-01-16 00:00:00.000,0.0001,42519.39276596
BTCUSDT,2024-01-16 08:00:00.000,0.0001,42785.20319149
BTCUSDT,2024-01-16 16:00:00.001,0.0001,43252.80000000
BTCUSDT,2024-01-17 00:00:00.000,0.0001,43140.21576950
BTCUSDT,2024-01-17 08:00:00.000,0.0001,42657.36403546
BTCUSDT,2024-01-17 16:00:00.000,0.0001,42480.14668590
BTCUSDT,2024-01-18 00:00:00.001,0.0001,42781.95793262
BTCUSDT,2024-01-18 08:00:00.000,0.0001,42915.94085106
BTCUSDT,2024-01-18 16:00:00.000,0.0001,42618.30000000
BTCUSDT,2024-01-19 00:00:00.000,0.0001,41312.34723404
BTCUSDT,2024-01-19 08:00:00.000,0.0001,41282.00000000
BTCUSDT,2024-01-19 16:00:00.002,0.0001,40897.10000000
BTCUSDT,2024-01-20 00:00:00.000,0.0001,41662.10000000
BTCUSDT,2024-01-20 08:00:00.003,0.0001,41650.68431818
BTCUSDT,2024-01-20 16:00:00.000,0.0001,41568.28595745
BTCUSDT,2024-01-21 00:00:00.000,0.0001,41693.91453546
BTCUSDT,2024-01-21 08:00:00.000,0.0001,41648.18463415
BTCUSDT,2024-01-21 16:00:00.000,0.0001,41652.70000000
BTCUSDT,2024-01-22 00:00:00.000,0.0001,41578.57680851
BTCUSDT,2024-01-22 08:00:00.000,0.0001,41041.20808511
BTCUSDT,2024-01-22 16:00:00.000,0.0001,40767.10361702
BTCUSDT,2024-01-23 00:00:00.000,0.0001,39566.15381552
BTCUSDT,2024-01-23 08:00:00.000,0.0001,39777.14965957
BTCUSDT,2024-01-23 16:00:00.000,0.0001,39204.77723404
BTCUSDT,2024-01-24 00:00:00.000,0.0001,39891.92865530
BTCUSDT,2024-01-24 08:00:00.000,0.0001,39973.35340426
BTCUSDT,2024-01-24 16:00:00.000,0.0001,40048.44006491
BTCUSDT,2024-01-25 00:00:00.000,0.0001,40078.80000000
BTCUSDT,2024-01-25 08:00:00.001,0.0001,40122.98766288
BTCUSDT,2024-01-25 16:00:00.000,0.0001,39799.30407092
BTCUSDT,2024-01-26 00:00:00.001,0.0001,39953.30000000
BTCUSDT,2024-01-26 08:00:00.000,0.0001,39957.97820833
BTCUSDT,2024-01-26 16:00:00.000,0.0001,41408.24000758
BTCUSDT,2024-01-27 00:00:00.000,8.966e-05,41806.40000000
BTCUSDT,2024-01-27 08:00:00.000,0.0001,41699.00000000
BTCUSDT,2024-01-27 16:00:00.000,8.3e-05,41797.40000000
BTCUSDT,2024-01-28 00:00:00.000,0.0001,42102.20000000
BTCUSDT,2024-01-28 08:00:00.000,4.725e-05,42370.00000000
BTCUSDT,2024-01-28 16:00:00.000,0.0001,42244.50000000
BTCUSDT,2024-01-29 00:00:00.000,0.0001,42021.30000000
BTCUSDT,2024-01-29 08:00:00.001,9.142e-05,42040.00000000
BTCUSDT,2024-01-29 16:00:00.000,0.0001,42626.51582979
BTCUSDT,2024-01-30 00:00:00.000,0.0001,43287.70000000
BTCUSDT,2024-01-30 08:00:00.000,9.492e-05,43346.60000000
BTCUSDT,2024-01-30 16:00:00.001,5.149e-05,43355.40000000
BTCUSDT,2024-01-31 00:00:00.000,2.154e-05,42925.49865957
BTCUSDT,2024-01-31 08:00:00.000,0.0001,43040.12039716
BTCUSDT,2024-01-31 16:00:00.000,0.0001,43348.20000000
BTCUSDT,2024-02-01 00:00:00.000,0.0001,42563.08635461
BTCUSDT,2024-02-01 08:00:00.000,0.0001,42182.20000000
BTCUSDT,2024-02-01 16:00:00.002,0.0001,42500.13148936
BTCUSDT,2024-02-02 00:00:00.000,0.0001,43072.60000000
BTCUSDT,2024-02-02 08:00:00.000,0.0001,43085.75394326
BTCUSDT,2024-02-02 16:00:00.000,0.0001,43224.06110638
BTCUSDT,2024-02-03 00:00:00.000,7.627e-05,43182.00000000
BTCUSDT,2024-02-03 08:00:00.000,9.042e-05,43037.00000000
BTCUSDT,2024-02-03 16:00:00.001,8.028e-05,43098.79023050
BTCUSDT,2024-02-04 00:00:00.000,8.307e-05,42993.33852128
BTCUSDT,2024-02-04 08:00:00.004,8.846e-05,42824.48293972
BTCUSDT,2024-02-04 16:00:00.000,0.0001,42926.70000000
BTCUSDT,2024-02-05 00:00:00.000,0.0001,42570.40000000
BTCUSDT,2024-02-05 08:00:00.000,0.0001,43059.00000000
BTCUSDT,2024-02-05 16:00:00.000,0.0001,42629.60000000
BTCUSDT,2024-02-06 00:00:00.000,0.0001,42693.59276950
BTCUSDT,2024-02-06 08:00:00.001,6.723e-05,42875.22371986
BTCUSDT,2024-02-06 16:00:00.000,0.0001,43232.25541135
BTCUSDT,2024-02-07 00:00:00.000,7.527e-05,43079.10000000
BTCUSDT,2024-02-07 08:00:00.000,5.373e-05,42904.80000000
BTCUSDT,2024-02-07 16:00:00.000,8.306e-05,43052.50000000
BTCUSDT,2024-02-08 00:00:00.000,0.0001,44326.22497872
BTCUSDT,2024-02-08 08:00:00.000,6.535e-05,44499.74975887
BTCUSDT,2024-02-08 16:00:00.000,2.59e-05,45411.12230496
BTCUSDT,2024-02-09 00:00:00.000,3.16e-05,45269.20000000
BTCUSDT,2024-02-09 08:00:00.000,0.0001,46189.13810284
BTCUSDT,2024-02-09 16:00:00.001,9.801e-05,47136.90000000
BTCUSDT,2024-02-10 00:00:00.001,8.041e-05,47116.64691288
BTCUSDT,2024-02-10 08:00:00.000,0.0001,47132.38896970
BTCUSDT,2024-02-10 16:00:00.000,0.0001,47334.57771120
BTCUSDT,2024-02-11 00:00:00.000,0.0001,47734.61973485
BTCUSDT,2024-02-11 08:00:00.001,0.0001,48169.53924621
BTCUSDT,2024-02-11 16:00:00.000,0.0001,48145.85068561
BTCUSDT,2024-02-12 00:00:00.000,0.0001,48298.07332955
BTCUSDT,2024-02-12 08:00:00.000,0.0001,48206.78867803
BTCUSDT,2024-02-12 16:00:00.000,0.0001,49919.40000000
BTCUSDT,2024-02-13 00:00:00.000,0.0001,49935.64595076
